planID=1, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=2, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=3, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=4, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=5, descriprion=build, duration=2, exercises=cardio
planID=6, descriprion=build, duration=2, exercises=cardio
planID=7, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=8, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=9, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=10, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=11, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=12, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=13, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=14, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=15, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=16, descriprion=plan, duration=plan, exercises=plan
planID=17, descriprion=plan, duration=plan, exercises=plan
planID=18, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=19, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=20, descriprion=PLAN, duration=PLAN, exercises=PLAN
planID=21, descriprion=PLAN, duration=PLAN, exercises=PLAN
planID=22, descriprion=OMAR, duration=OMAR, exercises=OMAR
planID=23, descriprion=PLAN, duration=PLAN, exercises=PLAN
planID=24, descriprion=PLAN, duration=PLAN, exercises=PLAN
